name,level,branch,summary,strength,agility,endurance,intelligence,education,charisma,will,essence,initiative,skills,ranks,paths,lateral,mastery,signature,equipment,income,description
Cop,1,Armsman,Patrol Officer / Street Law Enforcer,+1,,+1,,,,,,,Admin 0; Bribe 0; Frame 0; Interrogate 1; Psychology 1; Pistols 1; Rifles 1; Melee 1; Perception 1; Streetwise 1; Veteran 1,Kn:City; Cont:LEO; Drive,Detective; S.W.A.T.; Guard Captain; Bondsman,Any level one career,,,,,"The Cop is a front-line law enforcement officer, patrolling the streets and maintaining order in the community. With basic boosts to Strength and Endurance, they have the physical foundation for the demands of police work. Their skillset covers the essentials of law enforcement: firearms proficiency, melee combat, interrogation, psychology, perception, and streetwise, giving them the tools to handle a variety of situations from traffic stops to violent confrontations. Their connections to law enforcement and knowledge of the city are foundational, and their veteran skill reflects exposure to real-world policing. The Cop is the first step on the law enforcement ladder, with paths leading to detective work, SWAT, guard captaincy, or bounty enforcement."
Guard,1,Armsman,Security Guard / Watchman,,,,,,,,,,Admin 0; Pistols 1; Rifles 1; Melee 1; Psychology 0; Perception 1; Drive 0,Kn:City; Transp:+1,Guard Captain; Border Guard,Any level one career,,,,,"The Guard is a basic security professional, stationed to protect property, facilities, or people through vigilance and deterrence. Without notable stat bonuses, they rely on training and routine rather than exceptional physical or mental gifts. Their skillset covers the fundamentals of security work: pistols, rifles, melee, perception, and basic administration, providing the tools to monitor, report, and respond to incidents. Their knowledge of the city and transportation access helps them navigate patrol routes. The Guard is the entry point for the security and law enforcement path, with options to advance to Guard Captain or pivot to Border Guard duty."
Pup,1,Armsman,Young Hunter / Apprentice Tracker,+1,+1,+1,,+1,,,,+1,Admin 0; Bribe 0; First-Aid 1; Lore 1; Stealth 1; Pistols 1; Rifles 1; Melee 1; Perception 2; Veteran 1; Persuade 0; Psychology 0,Drive; Cont:Hunter,Hunter; Tracker,Any level one career,,,,,"The Pup is a young aspirant learning the ways of the hunt, beginning their journey as a tracker and survivalist. With modest boosts across Strength, Agility, Endurance, Education, and Initiative, they possess the balanced physical and mental foundation needed for outdoor pursuits. Their skillset covers the basics of survival: stealth, pistols, rifles, melee, perception, veteran experience, and lore, providing the tools to track game and navigate the wild. Their connections to hunters and driving skills help them integrate into hunting communities. The Pup is the starting point for the hunter's path, destined to grow into a full Hunter or Tracker."
Razorboy,1,Armsman,Street Kid / Gang Recruit,+1,+1,+1,,,,,+1,+1,Athletics 1; Intimidate 1; First-Aid 0; Honour 0; Pistols 1; Rifles 1; Melee 1; Perception 1; Stealth 1; Streetwise 0; Veteran 1,Kn:City1; Ride,Street Samurai; City Ronin; Mercenary,Any level one career,,,,,"The Razorboy is a street kid growing up in the urban jungle, learning to survive through grit, speed, and a willingness to fight. With modest boosts across Strength, Agility, Endurance, Initiative, and Essence, they possess the raw physical potential and spiritual awareness needed to navigate the dangers of the streets. Their skillset covers athletics, intimidation, pistols, rifles, melee, perception, stealth, and veteran experience, reflecting the harsh education of street life. Their knowledge of the city and riding skills help them move through their turf. The Razorboy is the raw material of the street warrior, with paths leading to Street Samurai, City Ronin, or Mercenary roles."
Rebel,1,Armsman,Insurgent / Freedom Fighter,+1,,+1,,,,+1,,,First-Aid 0; Pistols 0; Rifles 1; Melee 1; Perception 1; Stealth 1; Survival 1; Veteran 1; Ordinance 0,,Commando; Bomber; Mercenary; Survivalist,Any level one career,,,,,"The Rebel is a freedom fighter or insurgent, fighting against oppression or tyranny with whatever weapons and tactics are available. With modest boosts to Strength, Endurance, and Willpower, they possess the physical resilience and mental fortitude needed for guerrilla warfare. Their skillset covers rifles, melee, perception, stealth, survival, veteran experience, and basic ordinance, reflecting the improvisational nature of rebel tactics. They are often driven by ideology rather than profit, willing to risk everything for their cause. The Rebel is the spark of revolution, with paths leading to Commando, Bomber, Mercenary, or Survivalist roles."
Soldier,1,Armsman,Regular Infantry / Conscript,+1,,+1,,,,+1,,,First-Aid 1; Pistols 0; Rifles 1; Melee 0; Ordinance 0; Perception 1; Stealth 0; Survival 1; Tactics 1; Veteran 1; Honour 0,Cont:Military,Commando; Mercenary; S.W.A.T.; Survivalist,Any level one career,,,,,"The Soldier is a regular infantryman or conscript, serving in a formal military unit and learning the basics of warfare. With modest boosts to Strength, Endurance, and Willpower, they possess the physical and mental resilience needed for military service. Their skillset covers first aid, rifles, perception, survival, tactics, veteran experience, and basic honor, providing the foundation for a career in the armed forces. Their connections to military units anchor them in the chain of command. The Soldier is the basic building block of any army, with paths leading to commando, mercenary, SWAT, or survivalist roles."
Survivor,1,Armsman,Scrap Heap Fighter / Post-Apocalyptic Wanderer,+1,+1,+1,,,,+1,,+1,Athletics 1; Intimidate 1; Instinct 1; Luck 1; First-Aid 0; Pistols 1; Rifles 1; Melee 1; Perception 1; Stealth 0; Veteran 1,,Survivalist; Tracker; Hunter; Mercenary,Any level one career,,,,,"The Survivor is a hardened individual who has endured catastrophic events or lived on the fringes of society, relying on grit and luck to stay alive. With modest boosts across Strength, Agility, Endurance, Initiative, and Willpower, they possess the balanced resilience needed to face adversity. Their skillset covers athletics, intimidation, instinct, luck, pistols, rifles, melee, perception, and veteran experience, reflecting the practical skills of a wanderer in a hostile world. The Survivor is the starting point for those who choose to fight for their own survival, with paths leading to Survivalist, Tracker, Hunter, or Mercenary roles."
Apprentice,1,Channeler,Hermetic Student / Novice Mage,,,,+1,+1,,+1,+1,,Admin 1; Chan:Herm 1; Focus 1; LngLatin 0; Lng 1; Lore 1; Persuade 0; Ritual 1,,Street Mage; Wage Mage,Any level one career,,,,,"The Apprentice is a beginner in the Hermetic magical tradition, learning the foundational principles of ritual magic and occult lore. With minor boosts to Intelligence, Education, Willpower, and Essence, they possess the raw potential to develop into a full-fledged mage. Their skillset centers on Hermetic channeling, focus, ritual, and lore, supplemented by basic administration and language skills including Latin. The Apprentice is in the earliest stage of magical development, preparing to enter the world as either a Street Mage or a Wage Mage depending on their chosen path."
Cub,1,Channeler,Shamanic Initiate / Tribal Apprentice,,,,,+1,+1,+1,+1,,Chan:Shamn 1; Focus 1; Intimidate 0; Honour 1; Ritual 1; Lore 1; Persuade 0; Psychology 0,Drive; Horse; Hst:Tribe; Lng:Tribe; Cont:Spirit; Cont:Tribal,Shaman,Any level one career,,,,,"The Cub is a young initiate in the shamanic tradition, beginning their journey into the world of spirits and tribal magic. With modest boosts to Education, Charisma, Willpower, and Essence, they possess the spiritual potential and social aptitude needed to serve as a bridge between their community and the spirit world. Their skillset covers the fundamentals of shamanic practice: channeling, focus, ritual, and lore, along with basic skills in intimidation, honor, and persuasion. Their connections to spiritual and tribal communities ground them in their cultural context. The Cub is the first step on the shamanic path, destined to grow into a full Shaman and eventually a Skinwalker."
Dabbler,1,Channeler,Casual Occultist / Part-Time Mage,,,,+1,+1,,,,,Admin 0; Chan:Herm 1; Focus 1; Ritual 1; Veteran 1; Lore 1; Persuade 1; Psychology 1,Drive; Cont:Academ; Lng:Latin; Lng+2; Cont:*Criminal,Street Mage; Wage Mage,Any level one career,,,,,"The Dabbler is someone with a passing interest in the occult and Hermetic magic, exploring magical practices without committing fully to the path. With modest boosts to Intelligence and Education, they possess enough mental acuity to grasp basic magical concepts. Their skillset introduces Hermetic channeling, focus, ritual, and lore, supplemented by persuasion, psychology, and veteran experience, suggesting they came to magic later in life. Their diverse contacts, including academic, criminal, and Latin-speaking circles, hint at a varied background. The Dabbler is a latecomer to magic, ready to commit to the path of the Street Mage or Wage Mage."
Ghost,1,Channeler,Spirit-Touched Initiate / Astral Beginner,,,,,,,+2,+2,+2,Admin 1; Chan:Spirit 2; Focus 2; Discipline 0; Lore 1; Persuade 0; Ritual 2; Intimidate 0,,,Any level one career,,,,,"The Ghost is a beginner in the tradition of spirit channeling, possessing a natural affinity for the astral plane and the entities that dwell there. With boosts focused entirely on Initiative, Willpower, and Essence, they have the spiritual sensitivity to perceive and interact with spirits, though their physical and mental faculties remain undeveloped. Their skillset introduces spirit channeling, focus, ritual, and lore, providing the foundational practices for working with the unseen. The Ghost is a raw talent on the spirit channeling path, still learning to control their gifts and navigate the boundary between the material and ethereal."
Gifted,1,Channeler,Psionic Awakening / Mental Talent,,,,,+1,,+1,+1,,Chan:Mental 1; Instinct 1; Focus 1; Perception 0; Persuade 0; Psychology 0; Streetwise 0; Veteran 1; Lore 1,Cont:Mental,Medium,Any level one career,,,,,"The Gifted is someone who has recently discovered their latent psychic abilities, experiencing the first stirrings of mental powers they do not yet fully understand. With modest boosts to Education, Willpower, and Essence, they possess the spiritual and mental foundation for developing telepathic and extrasensory capabilities. Their skillset introduces mental channeling, instinct, focus, and lore, along with veteran experience suggesting their abilities may have surfaced through trauma or intense life events. Their connection to mental communities hints at finding others like themselves. The Gifted is the starting point for the psychic path, with potential to develop into a Medium."
Hounsi,1,Channeler,Vodou Initiate / Temple Servant,,,,,+1,+1,+1,+1,,Ritual 1; Chan:Voodoo 1; Focus 1; LngLatin 0; Lore 1; Persuade 1; Psychology 0,Hst:Vadouan; Lng+2; Cont:Vadouan,Vadouan,Any level one career,,,,,"The Hounsi is a novice in the Vodou tradition, serving as a temple servant and beginning the long journey toward spiritual mastery. With modest boosts to Education, Charisma, Willpower, and Essence, they possess the spiritual potential and social warmth needed to serve the community and commune with the loa. Their skillset introduces Vodou channeling, ritual, focus, lore, and persuasion, providing the foundations of the faith. Their connections to the Vodou community and proficiency in related languages ground them in their cultural practice. The Hounsi is the first step on the Vodou path, destined to grow into a Vadouan practitioner."
Novice,1,Channeler,Physical Channeler Novice / Monastic Aspirant,+1,+1,+1,,,,+1,+1,+1,Veteran 0; Athletics 1; Chan:Phys 1; Focus 1; Honour 1; First-Aid 1; Instinct 1; Melee 1; Lore 1; Stealth 1; Perception 1; Ritual 0; Survival 1,Cont:Adepts,Adept,Any level one career,,,,,"The Novice is a beginner in the tradition of physical channeling, learning to harmonize body and spirit through disciplined training and basic ritual practice. With modest but balanced boosts across Strength, Agility, Endurance, Initiative, Willpower, and Essence, they possess the foundational attributes needed for the physically demanding path of the adept. Their skillset introduces physical channeling, athletics, focus, melee, stealth, survival, first aid, instinct, lore, and perception, providing a well-rounded introduction to the monastic combat tradition. Their connections to adept communities anchor them in their practice. The Novice is the starting point for the physical channeling path, destined to grow into an Adept."
Seminararian,1,Channeler,Seminary Student / Future Clergy,,,,+1,+1,,+1,+1,,Admin 1; Chan:Cath 1; Focus 1; Honour 1; Lore 1; Persuade 0; Ritual 1,Lng+1; LngLatin; Hist:Catholic; Cont:Catholic,Priest,Any level one career,,,,,"The Seminarian is a student preparing for ordination in the Catholic Church, studying theology, scripture, and pastoral care. With modest boosts to Intelligence, Education, Willpower, and Essence, they possess the intellectual and spiritual foundation needed for the priesthood. Their skillset introduces Catholic channeling, focus, honor, lore, persuasion, and ritual, providing the basics of clerical training. Their connections to the Catholic Church, proficiency in Latin, and historical knowledge of the faith ground them in their vocation. The Seminarian is the first step on the clerical path, destined to grow into a Priest."
Wiccan,1,Channeler,Wiccan Initiate / Nature Worshipper,,,,+1,+1,,+1,+1,,Admin 1; Chan:Wiccan 1; Focus 1; Ritual 1; Lore 1; Persuade 0; Psychology 1,Lng2; LngLatin; Hist:Wiccan; Cont:Wiccan,Witch,Any level one career,,,,,"The Wiccan is a beginner in the Wiccan tradition, learning to connect with nature, the elements, and the divine through ritual and observation. With modest boosts to Intelligence, Education, Willpower, and Essence, they possess the spiritual foundation needed for the path. Their skillset introduces Wiccan channeling, focus, ritual, lore, and persuasion, providing the basics of the craft. Their connections to Wiccan communities, proficiency in Latin, and historical knowledge of the faith ground them in their practice. The Wiccan is the first step on the pagan path, destined to grow into a Witch."
Analyst,1,Civilian,Information Specialist / Researcher,,,,+1,+1,,,,,Admin 1; Focus 1; ScanLoc 1; Perception 1; Persuade 1; Psychology 1,Hist:+2; Cont:*Legal1; Lang:+2,Reporter; Whistleblower,Any level one career,,,,,"The Analyst is a keen-eyed researcher who specializes in gathering, processing, and interpreting information. With modest boosts to Intelligence and Education, they excel at scanning locations, perceiving details others miss, and applying psychological insight to understand motives. Their skillset includes administration, focus, and persuasion, making them effective in both desk-work and field investigations. Their connections to legal and academic contacts, along with historical knowledge and multilingual capabilities, give them an edge in uncovering hidden truths. The Analyst is the first step toward a career in journalism or whistleblowing, laying the groundwork for those who seek to expose secrets."
Co-Pilot,1,Civilian,Flight Trainee / Navigation Apprentice,,+1,,,+1,,,,+1,Admin 0; ScanLoc 1; Perception 1; Navigation 1,Pilot; Cont:Pilot; Kn:Routes; Lang:1,Pilot; Smuggler,Any level one career,,,,,"The Co-Pilot is a trainee aviator learning the ropes of flight and navigation alongside a more experienced pilot. With modest boosts to Agility, Education, and Initiative, they possess the quick reflexes and analytical mindset needed for aerial operations. Their skillset covers scanning, perception, and navigation, providing the foundational skills for piloting various aircraft. Their connections to pilot circles and knowledge of routes give them a head start in building the network essential for a career in aviation. The Co-Pilot is poised to either pursue legitimate piloting or slip into the lucrative world of smuggling."
Drifter,1,Civilian,Wandering Traveler / Jack of All Trades,,+1,,+1,,+1,,,,Melee 1; Luck 1; Gambling 1; Streetwise 0; Survival 0; Psychology 1; Persuade 1; Perception 1,Lang:2; Kn:City3; Cont:3,Smuggler; Reporter; Whistle Blower,Any level one career,,,,,"The Drifter is a restless wanderer who moves from place to place, picking up odd jobs and accumulating stories along the way. With modest boosts to Agility, Intelligence, and Charisma, they are adaptable and socially capable, able to fit into a variety of situations. Their skillset reflects a nomadic lifestyle: melee, luck, gambling, survival, psychology, persuasion, and perception, showing someone who survives by their wits and charm. Their knowledge of multiple languages and cities speaks to a life of constant movement. The Drifter is a free spirit, with potential paths leading into smuggling, reporting, or whistleblowing."
